molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL2420623,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1cc2ccncc2o1,14.0,active
CHEMBL2420622,O=C(NCc1ccc(S(=O)(=O)c2ccc(N3CCOCC3)nc2)cc1)c1cc2cnccc2[nH]1,7.0,active
CHEMBL2420621,O=C(NCc1ccc(S(=O)(=O)c2cccnc2)cc1)c1cc2cnccc2[nH]1,21.0,active
CHEMBL2420620,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1cc2cnccc2[nH]1,8.0,active
CHEMBL2420619,O=C(NCc1ccc(S(=O)(=O)c2ccc(F)c(F)c2)cc1)c1cc2cnccc2[nH]1,10.0,active
CHEMBL2420618,O=C(NCc1ccc(S(=O)(=O)c2ccc(F)cc2)cc1)c1cc2cnccc2[nH]1,17.0,active
CHEMBL2420651,O=C(NCc1ccc(S(=O)(=O)c2cccc(F)c2)cc1)c1cc2cnccc2[nH]1,5.0,active
CHEMBL2420650,O=C(NCc1ccc(S(=O)(=O)c2ccc(C(F)(F)F)cc2)cc1)c1cc2cnccc2[nH]1,16.0,active
CHEMBL2420649,O=C(NCc1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1)c1cc2cnccc2[nH]1,8.0,active
CHEMBL2420648,O=C(NCc1ccc(S(=O)(=O)c2ccccc2C(F)(F)F)cc1)c1cc2cnccc2[nH]1,24.0,active
CHEMBL2420647,Cc1cccc(S(=O)(=O)c2ccc(CNC(=O)c3cc4cnccc4[nH]3)cc2)c1,8.0,active
CHEMBL2420646,Cc1ccccc1S(=O)(=O)c1ccc(CNC(=O)c2cc3cnccc3[nH]2)cc1,12.0,active
CHEMBL2420645,O=C(NCc1ccc(S(=O)(=O)c2ccccc2)cc1)c1cc(-c2cccnc2)no1,41.0,active
CHEMBL2420644,O=C(NCc1ccc(S(=O)(=O)c2ccccc2)cc1)c1cc(-c2cccnc2)[nH]n1,43.0,active
CHEMBL2420643,O=C(NCc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2ncncc2c1,1900.0,intermediate
CHEMBL2420642,O=C(NCc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2ccncc2c1,610.0,active
CHEMBL2420641,O=C(NCc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2cnccc2c1,10000.0,inactive
CHEMBL2420640,O=C(NCc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2nncn2c1,370.0,active
CHEMBL2420639,O=C(NCc1ccc(S(=O)(=O)c2ccccc2)cc1)c1cn2ccnc2cn1,150.0,active
CHEMBL2420638,O=C(NCc1ccc(S(=O)(=O)c2ccccc2)cc1)c1cnc2nccn2c1,2.0,active
CHEMBL2420637,O=C(NCc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1cnc2nccn2c1,3.0,active
CHEMBL2420636,O=C(NCc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccn2ccnc2c1,1800.0,intermediate
CHEMBL2420635,O=C(NCc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccn2cncc2c1,1700.0,intermediate
CHEMBL2420668,O=C(NCc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2cncn2c1,1500.0,intermediate
CHEMBL2420667,O=C(NCc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2nccn2c1,18.0,active
